"","VALUE","COUNT","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7393,28129151,"Edwards Plateau Limestone Shrubland",7393,2393,"Sh Edwards Plateau Limestone Shrubland","Shrub","Shrubland",696,"Juniper-Oak","SRM 733: Juniper-Oak","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",34,109,153,0.133333,0.427451,0.6,6255773,15.766
"2",9325,25057238,"Great Plains Comanchian Ruderal Shrubland",9325,2561,"Sh Great Plains Comanchian Ruderal Grassland & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,105,46,1,0.411765,0.180392,5572596,14.044
"3",7383,22877765,"Edwards Plateau Limestone Savanna and Woodland",7383,2383,"Tr Edwards Plateau Limestone Savanna and Woodland","Tree","Hardwood",662,"Post Oak Woodland and Savanna","SRM 733: Juniper-Oak","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",34,109,153,0.133333,0.427451,0.6,5087892,12.823
"4",9825,19748161,"Great Plains Comanchian Ruderal Grassland",9325,2561,"Sh Great Plains Comanchian Ruderal Grassland & Shrubland","Herb","Exotic Herbaceous",703,"Introduced Perennial Grassland and Forbland","LF 54: Introduced Upland Vegetation - Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,4391885,11.069
"5",7111,15783794,"Western Great Plains Mesquite Shrubland",7111,2111,"Sh Western Great Plains Mesquite Woodland and Shrubland","Shrub","Shrubland",624,"Mesquite Woodland and Scrub","SRM 729: Mesquite","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",150,123,89,0.588235,0.482353,0.34902,3510231,8.847
"6",7988,8070466,"Western Warm Temperate Wheat",7988,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,1794828,4.523
"7",7984,8059124,"Western Warm Temperate Row Crop",7984,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,1792306,4.517
"8",7987,6831966,"Western Warm Temperate Pasture and Hayland",7987,2967,"Dab Pasture and Hayland","Herb","Agricultural",67,"Agricultural-Pasture and Hayland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",227,212,28,0.890196,0.831373,0.109804,1519393,3.829
"9",7299,5553118,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922,1234984,3.112
"10",7392,3779753,"Tamaulipan Calcareous Thornscrub",7392,2392,"Sh Tamaulipan Calcareous Thornscrub","Shrub","Shrubland",613,"Desert Scrub","SRM 728: Mesquite-Ganjeno-Acacia","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",82,52,34,0.321569,0.203922,0.133333,840597,2.119
